,Player,Matches,Innings,Runs,Batting Average,Batting Strike Rate
113,Umran Malik SRH,8,2,19,19.00,237.50
114,Umesh Yadav KKR,8,5,19,9.50,105.55
115,Amit Mishra LSG,7,1,19,19.00,63.33
116,Arshad Khan MI,6,3,18,9.00,120.00
117,Akash Deep RCB,2,1,17,17.00,212.50
118,Akeal Hosein SRH,1,1,16,-,160.00
119,Trent Boult RR,10,4,16,16.00,114.28
120,Praveen Dubey DC,1,1,16,16.00,80.00
121,Naveen-ul-Haq LSG,8,3,16,16.00,76.19
122,Yash Dhull DC,4,3,16,5.33,69.56
123,Ben Stokes CSK,2,2,15,7.50,107.14
124,Mandeep Singh KKR,3,3,14,4.67,87.50
125,Arjun Tendulkar MI,4,1,13,13.00,144.44
126,Vyshak Vijaykumar RCB,7,2,13,13.00,144.44
127,Kedar Jadhav RCB,2,1,12,-,120.00
128,Jason Holder RR,8,3,12,6.00,109.09
129,Karan Sharma LSG,2,2,12,6.00,57.14
130,Mark Wood LSG,4,2,11,11.00,220.00
131,Sanvir Singh SRH,2,2,11,11.00,122.22
132,Manan Vohra LSG,1,1,10,10.00,90.90
133,Joe Root RR,3,1,10,10.00,66.66
134,Adam Zampa RR,6,3,10,3.33,62.50
135,Jaydev Unadkat LSG,3,1,9,9.00,128.57
136,Noor Ahmad GT,13,3,8,4.00,88.88
137,Mukesh Kumar DC,10,3,7,-,77.77
138,Rovman Powell DC,3,3,7,2.33,77.77
139,Alzarri Joseph GT,7,2,7,-,58.33
140,Harshal Patel RCB,13,2,6,3.00,100.00
141,Kumar Kartikeya Singh MI,8,1,6,6.00,85.71
142,Jason Behrendorff MI,12,2,6,-,66.66
143,Chris Jordan MI,6,2,6,3.00,50.00
144,Mohammad Shami GT,17,2,5,2.50,83.33
145,Litton Das KKR,1,1,4,4.00,100.00
146,Jofra Archer MI,5,2,4,-,100.00
147,Chetan Sakariya DC,2,2,4,4.00,66.66
148,Vaibhav Arora KKR,5,2,3,-,150.00
149,Karn Sharma RCB,7,2,3,1.50,60.00
150,Arshdeep Singh PBKS,14,2,2,-,100.00
151,Mitchell Santner CSK,3,2,2,-,50.00
152,Swapnil Singh LSG,2,1,2,-,50.00
153,Wayne Parnell RCB,7,1,2,2.00,40.00
154,Sandeep Sharma RR,12,2,2,-,33.33
155,Mustafizur Rahman DC,2,1,1,-,100.00
156,Ishant Sharma DC,8,1,1,-,100.00
157,Abdul Basith RR,1,1,1,-,100.00
158,Deepak Chahar CSK,10,1,1,-,50.00
159,Mohit Rathee PBKS,1,1,1,-,50.00
160,Josh Hazlewood RCB,3,1,1,-,50.00
161,Mohammed Siraj RCB,14,2,1,1.00,50.00
162,Yudhvir Singh LSG,3,2,1,0.50,50.00
163,Fazalhaq Farooqi SRH,4,1,1,-,20.00
164,Nathan Ellis PBKS,10,2,1,0.50,14.28
165,Varun Chakaravarthy KKR,14,2,1,1.00,11.11
