,Name,Matches,Runs,Batting Average,Wicket,Bowling Average
148,N A Saini,2,0,,3,24.67
149,C Sakariya,2,4,4.00,3,29.67
150,P D Salt,9,218,27.25,0,
151,S V Samson,14,362,30.17,0,
152,Sandeep Sharma,12,2,,10,39.60
153,M J Santner,3,2,,3,27.00
154,K R Sen,2,0,,0,
155,Shahbaz Ahmed,10,42,10.50,1,95.00
156,Shahrukh Khan,14,156,22.29,0,
157,D Shanaka,3,26,13.00,0,
158,V Shankar,14,301,37.63,0,
159,H Sharma,1,0,,0,
160,I Sharma,8,1,,10,20.60
161,J M Sharma,14,309,23.77,0,
162,K S Sharma,2,12,6.00,0,
163,K V Sharma,7,3,1.50,10,22.30
164,M M Sharma,14,0,,27,13.37
165,R G Sharma,16,332,20.75,0,
166,S Sharma,11,0,,10,32.10
167,V Sharma,3,69,69.00,0,
168,P P Shaw,8,106,13.25,0,
169,R Shepherd,1,0,0.00,0,
170,H R Shokeen,8,23,23.00,3,62.33
171,M W Short,6,117,19.50,0,
172,Shubman Gill,17,890,59.33,0,
173,Sikandar Raza,7,139,27.80,3,39.67
174,R K Singh,14,474,59.25,0,
175,S Singh,2,11,11.00,0,
176,T G Southee,2,0,,2,39.50
177,M P Stoinis,15,408,31.38,5,20.00
178,B A Stokes,2,15,7.50,0,
179,T Stubbs,2,25,12.50,1,14.00
180,Swapnil Singh,2,2,,0,
181,A Taide,7,186,26.57,0,
182,A S Tendulkar,4,13,13.00,3,30.67
183,R Tewatia,17,87,21.75,0,
184,S N Thakur,11,113,14.13,7,31.43
185,Y Thakur,9,0,,13,22.23
186,M M Theekshana,13,0,,11,35.64
187,Tilak Varma,11,343,42.88,0,
188,R J W Topley,1,0,,1,14.00
189,R A Tripathi,13,273,22.75,0,
190,Umran Malik,8,19,19.00,5,43.40
191,J D Unadkat,3,9,9.00,0,
192,C V Varun,14,1,1.00,20,21.45
193,Vijaykumar Vyshak,7,13,13.00,9,28.11
194,Vishnu Vinod,3,37,12.33,0,
195,M Vohra,1,10,10.00,0,
196,N Wadhera,14,241,26.78,0,
197,D A Warner,14,516,36.86,0,
198,Washington Sundar,7,60,15.00,3,48.67
199,D Wiese,3,21,21.00,0,
200,D J Willey,4,35,,3,35.00
201,K S Williamson,1,0,,0,
202,M A Wood,4,11,11.00,11,11.82
203,J Yadav,1,0,,0,
204,K Yadav,2,0,,2,34.00
205,S A Yadav,16,605,43.21,0,
206,U T Yadav,8,19,9.50,1,189.00
207,Yudhvir Singh,3,1,0.50,3,23.33
208,A Zampa,6,10,3.33,8,23.50
